Match Number,Round Number,Date,Location,Home Team,Away Team,Result
175,18,06/01/2021 21:00,Orange Vélodrome,Olympique de Marseille,Montpellier Hérault SC,3 - 1
178,18,06/01/2021 21:00,Stade Auguste Delaune,Stade de Reims,Dijon FCO,0 - 0
179,18,06/01/2021 21:00,Stade Geoffroy-Guichard,AS Saint-Etienne,Paris Saint-Germain,1 - 1
181,19,09/01/2021 21:00,Matmut Atlantique,Girondins de Bordeaux,FC Lorient,2 - 1
182,19,09/01/2021 21:00,Stade Gaston Gérard,Dijon FCO,Olympique de Marseille,0 - 0
183,19,09/01/2021 21:00,Stade Bollaert-Delelis,RC Lens,RC Strasbourg Alsace,0 - 1
184,19,09/01/2021 21:00,Stade Saint-Symphorien,FC Metz,OGC Nice,1 - 1
185,19,09/01/2021 21:00,Stade Louis II,AS Monaco,Angers SCO,3 - 0
186,19,09/01/2021 21:00,Stade de la Mosson,Montpellier Hérault SC,FC Nantes,1 - 1
187,19,09/01/2021 21:00,Stade des Costières,Nîmes Olympique,LOSC,0 - 1
188,19,09/01/2021 21:00,Parc des Princes,Paris Saint-Germain,Stade Brestois 29,3 - 0
189,19,09/01/2021 21:00,Stade Auguste Delaune,Stade de Reims,AS Saint-Etienne,3 - 1
190,19,09/01/2021 21:00,Roazhon Park,Stade Rennais FC,Olympique Lyonnais,2 - 2
197,20,15/01/2021 21:00,Stade de la Mosson,Montpellier Hérault SC,AS Monaco,2 - 3
196,20,16/01/2021 17:00,Orange Vélodrome,Olympique de Marseille,Nîmes Olympique,1 - 2
191,20,16/01/2021 21:00,Stade Raymond Kopa,Angers SCO,Paris Saint-Germain,0 - 1
193,20,16/01/2021 21:00,Stade Pierre-Mauroy,LOSC,Stade de Reims,2 - 1
192,20,17/01/2021 13:00,Stade Francis-Le Blé,Stade Brestois 29,Stade Rennais FC,1 - 2
198,20,17/01/2021 15:00,Stade de la Beaujoire,FC Nantes,RC Lens,1 - 1
199,20,17/01/2021 15:00,Allianz Riviera,OGC Nice,Girondins de Bordeaux,0 - 3
200,20,17/01/2021 17:00,Stade de la Meinau,RC Strasbourg Alsace,AS Saint-Etienne,1 - 0
195,20,17/01/2021 21:00,Groupama Stadium,Olympique Lyonnais,FC Metz,0 - 1
84,20,20/01/2021 21:00,Orange Vélodrome,Olympique de Marseille,RC Lens,0 - 1
207,21,22/01/2021 21:00,Parc des Princes,Paris Saint-Germain,Montpellier Hérault SC,4 - 0
203,21,23/01/2021 17:00,Stade Bollaert-Delelis,RC Lens,OGC Nice,0 - 1
205,21,23/01/2021 21:00,Stade Louis II,AS Monaco,Olympique de Marseille,3 - 1
201,21,24/01/2021 13:00,Matmut Atlantique,Girondins de Bordeaux,Angers SCO,2 - 1
202,21,24/01/2021 15:00,Stade Gaston Gérard,Dijon FCO,RC Strasbourg Alsace,1 - 1
204,21,24/01/2021 15:00,Stade Saint-Symphorien,FC Metz,FC Nantes,2 - 0
208,21,24/01/2021 15:00,Stade Auguste Delaune,Stade de Reims,Stade Brestois 29,1 - 0
209,21,24/01/2021 17:00,Roazhon Park,Stade Rennais FC,LOSC,0 - 1
210,21,24/01/2021 21:00,Stade Geoffroy-Guichard,AS Saint-Etienne,Olympique Lyonnais,0 - 5
194,21,27/01/2021 21:00,Stade du Moustoir,FC Lorient,Dijon FCO,3 - 2
215,22,29/01/2021 21:00,Groupama Stadium,Olympique Lyonnais,Girondins de Bordeaux,2 - 1
217,22,30/01/2021 17:00,Stade de la Mosson,Montpellier Hérault SC,RC Lens,1 - 2
219,22,31/01/2021 13:00,Allianz Riviera,OGC Nice,AS Saint-Etienne,0 - 1
211,22,31/01/2021 15:00,Stade Raymond Kopa,Angers SCO,Nîmes Olympique,3 - 1
212,22,31/01/2021 15:00,Stade Francis-Le Blé,Stade Brestois 29,FC Metz,2 - 4
214,22,31/01/2021 15:00,Stade du Moustoir,FC Lorient,Paris Saint-Germain,3 - 2
220,22,31/01/2021 15:00,Stade de la Meinau,RC Strasbourg Alsace,Stade de Reims,0 - 1
213,22,31/01/2021 17:00,Stade Pierre-Mauroy,LOSC,Dijon FCO,1 - 0
218,22,31/01/2021 21:00,Stade de la Beaujoire,FC Nantes,AS Monaco,1 - 2
221,23,03/02/2021 19:00,Matmut Atlantique,Girondins de Bordeaux,LOSC,0 - 3
224,23,03/02/2021 19:00,Stade Saint-Symphorien,FC Metz,Montpellier Hérault SC,1 - 1
227,23,03/02/2021 19:00,Stade Auguste Delaune,Stade de Reims,Angers SCO,0 - 0
228,23,03/02/2021 19:00,Roazhon Park,Stade Rennais FC,FC Lorient,1 - 1
230,23,03/02/2021 19:00,Stade de la Meinau,RC Strasbourg Alsace,Stade Brestois 29,2 - 2
222,23,03/02/2021 21:00,Stade Gaston Gérard,Dijon FCO,Olympique Lyonnais,0 - 1
223,23,03/02/2021 21:00,Stade Bollaert-Delelis,RC Lens,Olympique de Marseille,2 - 2
225,23,03/02/2021 21:00,Stade Louis II,AS Monaco,OGC Nice,2 - 1
226,23,03/02/2021 21:00,Parc des Princes,Paris Saint-Germain,Nîmes Olympique,3 - 0
229,23,03/02/2021 21:00,Stade Geoffroy-Guichard,AS Saint-Etienne,FC Nantes,1 - 1
233,24,06/02/2021 17:00,Stade du Moustoir,FC Lorient,Stade de Reims,1 - 0
234,24,06/02/2021 19:00,Groupama Stadium,Olympique Lyonnais,RC Strasbourg Alsace,3 - 0
232,24,06/02/2021 21:00,Stade Bollaert-Delelis,RC Lens,Stade Rennais FC,0 - 0
231,24,07/02/2021 13:00,Stade Francis-Le Blé,Stade Brestois 29,Girondins de Bordeaux,2 - 1
235,24,07/02/2021 15:00,Stade de la Mosson,Montpellier Hérault SC,Dijon FCO,4 - 2
237,24,07/02/2021 15:00,Allianz Riviera,OGC Nice,Angers SCO,3 - 0
238,24,07/02/2021 15:00,Stade des Costières,Nîmes Olympique,AS Monaco,3 - 4
239,24,07/02/2021 15:00,Stade Geoffroy-Guichard,AS Saint-Etienne,FC Metz,1 - 0
236,24,07/02/2021 17:00,Stade de la Beaujoire,FC Nantes,LOSC,0 - 2
240,24,07/02/2021 21:00,Orange Vélodrome,Olympique de Marseille,Paris Saint-Germain,0 - 2
248,25,13/02/2021 17:00,Parc des Princes,Paris Saint-Germain,OGC Nice,2 - 1
249,25,13/02/2021 19:00,Stade Auguste Delaune,Stade de Reims,RC Lens,1 - 1
245,25,13/02/2021 21:00,Groupama Stadium,Olympique Lyonnais,Montpellier Hérault SC,1 - 2
247,25,14/02/2021 13:00,Stade Louis II,AS Monaco,FC Lorient,2 - 2
241,25,14/02/2021 15:00,Stade Raymond Kopa,Angers SCO,FC Nantes,1 - 3
243,25,14/02/2021 15:00,Stade Gaston Gérard,Dijon FCO,Nîmes Olympique,0 - 2
246,25,14/02/2021 15:00,Stade Saint-Symphorien,FC Metz,RC Strasbourg Alsace,1 - 2
250,25,14/02/2021 15:00,Roazhon Park,Stade Rennais FC,AS Saint-Etienne,0 - 2
244,25,14/02/2021 17:00,Stade Pierre-Mauroy,LOSC,Stade Brestois 29,0 - 0
242,25,14/02/2021 21:00,Matmut Atlantique,Girondins de Bordeaux,Olympique de Marseille,0 - 0
105,25,17/02/2021 21:00,Orange Vélodrome,Olympique de Marseille,OGC Nice,3 - 2
251,26,19/02/2021 21:00,Stade Francis-Le Blé,Stade Brestois 29,Olympique Lyonnais,2 - 3
259,26,20/02/2021 13:00,Stade Geoffroy-Guichard,AS Saint-Etienne,Stade de Reims,1 - 1
255,26,20/02/2021 17:00,Stade de la Beaujoire,FC Nantes,Olympique de Marseille,1 - 1
254,26,21/02/2021 13:00,Stade de la Mosson,Montpellier Hérault SC,Stade Rennais FC,2 - 1
252,26,21/02/2021 15:00,Stade Bollaert-Delelis,RC Lens,Dijon FCO,2 - 1
256,26,21/02/2021 15:00,Allianz Riviera,OGC Nice,FC Metz,1 - 2
257,26,21/02/2021 15:00,Stade des Costières,Nîmes Olympique,Girondins de Bordeaux,2 - 0
