Match Number,Round Number,Date,Location,Home Team,Away Team,Result
357,36,12/05/2019 15:00,Stadio Luigi Ferraris,Sampdoria,Empoli,1 - 2
358,36,12/05/2019 18:00,Stadio Paolo Mazza,Spal,Napoli,1 - 2
360,36,12/05/2019 20:30,Stadio Olimpico,Roma,Juventus,2 - 0
352,36,13/05/2019 19:00,Stadio Renato Dall'Ara,Bologna,Parma,4 - 1
356,36,13/05/2019 21:00,Stadio Giuseppe Meazza,Inter,Chievoverona,2 - 0
369,37,18/05/2019 15:00,Stadio Friuli,Udinese,Spal,3 - 2
363,37,18/05/2019 18:00,Stadio Luigi Ferraris,Genoa,Cagliari,1 - 1
368,37,18/05/2019 20:30,Mapei Stadium – Città del Tricolore,Sassuolo,Roma,0 - 0
361,37,19/05/2019 12:30,Stadio Marc'Antonio Bentegodi,Chievoverona,Sampdoria,0 - 0
362,37,19/05/2019 15:00,Stadio Carlo Castellani,Empoli,Torino,4 - 1
367,37,19/05/2019 15:00,Stadio Ennio Tardini,Parma,Fiorentina,1 - 0
366,37,19/05/2019 18:00,Stadio Giuseppe Meazza,Milan,Frosinone,2 - 0
364,37,19/05/2019 20:30,Allianz Stadium,Juventus,Atalanta,1 - 1
370,37,19/05/2019 20:30,Stadio San Paolo,Napoli,Inter,4 - 1
365,37,20/05/2019 20:30,Stadio Olimpico,Lazio,Bologna,3 - 3
375,38,25/05/2019 18:00,Stadio Benito Stirpe,Frosinone,Chievoverona,0 - 0
372,38,25/05/2019 20:30,Stadio Renato Dall'Ara,Bologna,Napoli,3 - 2
380,38,26/05/2019 15:00,Stadio Olimpico Grande Torino,Torino,Lazio,3 - 1
378,38,26/05/2019 18:00,Stadio Luigi Ferraris,Sampdoria,Juventus,2 - 0
371,38,26/05/2019 20:30,Mapei Stadium – Città del Tricolore,Atalanta,Sassuolo,3 - 1
373,38,26/05/2019 20:30,Sardegna Arena,Cagliari,Udinese,1 - 2
374,38,26/05/2019 20:30,Stadio Artemio Franchi,Fiorentina,Genoa,0 - 0
376,38,26/05/2019 20:30,Stadio Giuseppe Meazza,Inter,Empoli,2 - 1
377,38,26/05/2019 20:30,Stadio Olimpico,Roma,Parma,2 - 1
379,38,26/05/2019 20:30,Stadio Paolo Mazza,Spal,Milan,2 - 3
